Company Name,Year,Equity Share Capital,Reserves And Surplus,Total Shareholders Funds,Total Non-Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Total Revenue,Total Expenses,Profit/Loss Before Tax,Current Tax,Profit/Loss For The Period,Basic Eps (Rs.),Equity Share Dividend,Pbdit Margin (%),Net Profit Margin (%),Return On Networth/Equity (%),Return On Capital Employed (%),Total Debt/Equity (X),Current Ratio (X),Dividend Payout Ratio (Np) (%),Earnings Retention Ratio (%),Score,Comment
Tata Elxsi Ltd.Tata Elxsi Ltd.Tata Elxsi Ltd.Tata Elxsi Ltd.Tata Elxsi Ltd.,Mar 14,31.14,204.57,235.71,11.95,140.67,388.33,238.29,388.33,774.79,787.33,1.83,34.99,675.14,112.19,38.62,72.26,23.0,28.02,19.23,9.18,30.66,46.04,0.65,1.69,0.39,0.61,950,"ROE Score : 200
 ROTC Score: 200
 Operation Margin score: 50
 Net Profit Margin Score: 50
 Current Ratio score: 100
 Debt to NetProfit : 0.16537503459728756 and Score: 200
 Share Count Reduction Check score : 0
 Business Growth score: 150
 TOTAL SCORE: 950"
Tata Elxsi Ltd.Tata Elxsi Ltd.Tata Elxsi Ltd.Tata Elxsi Ltd.Tata Elxsi Ltd.,Mar 13,31.14,164.04,195.17,9.53,158.7,363.4,188.55,363.4,621.67,626.51,3.91,23.73,577.25,33.37,11.11,22.37,7.0,15.57,9.81,3.57,11.46,18.21,0.86,1.19,0.7,0.3,550,"ROE Score : 0
 ROTC Score: 100
 Operation Margin score: 0
 Net Profit Margin Score: 0
 Current Ratio score: 100
 Debt to NetProfit : 0.42601698703620916 and Score: 200
 Share Count Reduction Check score : 0
 Business Growth score: 150
 TOTAL SCORE: 550"
Tata Elxsi Ltd.Tata Elxsi Ltd.Tata Elxsi Ltd.Tata Elxsi Ltd.Tata Elxsi Ltd.,Mar 12,31.14,160.84,191.98,10.61,132.03,334.62,174.03,334.62,538.71,542.91,2.33,20.52,487.55,55.36,13.16,38.71,11.0,21.8,14.52,7.13,20.16,28.48,0.74,1.32,0.56,0.44,900,"ROE Score : 150
 ROTC Score: 200
 Operation Margin score: 50
 Net Profit Margin Score: 50
 Current Ratio score: 100
 Debt to NetProfit : 0.2740893825884784 and Score: 200
 Share Count Reduction Check score : 0
 Business Growth score: 150
 TOTAL SCORE: 900"
Tata Elxsi Ltd.Tata Elxsi Ltd.Tata Elxsi Ltd.Tata Elxsi Ltd.Tata Elxsi Ltd.,Mar 11,31.14,151.23,182.37,8.36,110.94,301.68,149.28,301.68,415.91,419.77,1.88,17.2,387.8,31.97,11.03,32.52,10.0,21.8,12.27,7.75,17.83,17.75,0.65,1.35,0.67,0.33,750,"ROE Score : 100
 ROTC Score: 100
 Operation Margin score: 50
 Net Profit Margin Score: 50
 Current Ratio score: 100
 Debt to NetProfit : 0.2570725707257072 and Score: 200
 Share Count Reduction Check score : 0
 Business Growth score: 150
 TOTAL SCORE: 750"
Sonata Software Ltd.Sonata Software Ltd.Sonata Software Ltd.Sonata Software Ltd.Sonata Software Ltd.,Mar 20,10.39,659.28,669.67,127.85,818.94,1616.46,1189.59,1616.46,3743.26,3801.66,15.18,36.54,3422.17,379.49,102.56,276.93,27.0,0.0,11.52,7.28,41.35,49.49,1.41,1.45,0.0,1.0,1000,"ROE Score : 200
 ROTC Score: 200
 Operation Margin score: 0
 Net Profit Margin Score: 50
 Current Ratio score: 100
 Debt to NetProfit : 0.46166901383020975 and Score: 200
 Share Count Reduction Check score : 100
 Business Growth score: 150
 TOTAL SCORE: 1000"
Sonata Software Ltd.Sonata Software Ltd.Sonata Software Ltd.Sonata Software Ltd.Sonata Software Ltd.,Mar 19,10.39,757.87,768.26,43.5,716.32,1528.08,1246.76,1528.08,2960.9,2988.15,3.39,12.74,2641.42,349.49,110.45,248.88,24.0,119.4,12.35,8.33,32.4,43.47,0.99,1.74,0.48,0.52,1050,"ROE Score : 200
 ROTC Score: 200
 Operation Margin score: 50
 Net Profit Margin Score: 50
 Current Ratio score: 100
 Debt to NetProfit : 0.17478302796528447 and Score: 200
 Share Count Reduction Check score : 100
 Business Growth score: 150
 TOTAL SCORE: 1050"
Sonata Software Ltd.Sonata Software Ltd.Sonata Software Ltd.Sonata Software Ltd.Sonata Software Ltd.,Mar 18,10.38,642.92,653.3,31.36,548.94,1233.56,953.68,1233.56,2453.94,2499.39,4.8,12.41,2240.17,260.37,71.25,192.13,19.0,95.96,11.31,7.69,29.41,38.73,0.89,1.74,0.5,0.5,1000,"ROE Score : 200
 ROTC Score: 200
 Operation Margin score: 0
 Net Profit Margin Score: 50
 Current Ratio score: 100
 Debt to NetProfit : 0.16322281788372456 and Score: 200
 Share Count Reduction Check score : 100
 Business Growth score: 150
 TOTAL SCORE: 1000"
Sonata Software Ltd.Sonata Software Ltd.Sonata Software Ltd.Sonata Software Ltd.Sonata Software Ltd.,Mar 17,10.37,580.02,590.39,47.62,559.32,1197.69,994.22,1197.69,2370.78,2417.89,9.28,10.88,2199.39,226.22,66.2,156.92,15.0,35.71,10.39,6.49,26.58,36.89,1.03,1.78,0.23,0.77,950,"ROE Score : 200
 ROTC Score: 200
 Operation Margin score: 0
 Net Profit Margin Score: 0
 Current Ratio score: 100
 Debt to NetProfit : 0.30346673464185575 and Score: 200
 Share Count Reduction Check score : 100
 Business Growth score: 150
 TOTAL SCORE: 950"
Sonata Software Ltd.Sonata Software Ltd.Sonata Software Ltd.Sonata Software Ltd.Sonata Software Ltd.,Mar 16,10.52,460.48,470.99,68.39,452.5,991.89,792.99,991.89,1940.5,1984.28,7.95,6.16,1762.72,225.25,67.11,158.59,15.0,94.64,12.33,7.99,33.67,43.23,1.11,1.75,0.6,0.4,1050,"ROE Score : 200
 ROTC Score: 200
 Operation Margin score: 50
 Net Profit Margin Score: 50
 Current Ratio score: 100
 Debt to NetProfit : 0.43123778296235576 and Score: 200
 Share Count Reduction Check score : 100
 Business Growth score: 150
 TOTAL SCORE: 1050"
Tata Metaliks Ltd.Tata Metaliks Ltd.Tata Metaliks Ltd.Tata Metaliks Ltd.Tata Metaliks Ltd.,Mar 16,25.29,67.74,193.03,84.69,584.08,861.8,363.4,861.8,1301.06,1302.64,37.8,32.97,1153.32,149.32,25.51,122.79,45.0,8.5,16.92,9.43,63.61,67.38,3.46,0.62,0.07,0.93,800,"ROE Score : 200
 ROTC Score: 200
 Operation Margin score: 50
 Net Profit Margin Score: 50
 Current Ratio score: -100
 Debt to NetProfit : 0.6897141461031028 and Score: 200
 Share Count Reduction Check score : 0
 Business Growth score: 200
 TOTAL SCORE: 800"
Tata Metaliks Ltd.Tata Metaliks Ltd.Tata Metaliks Ltd.Tata Metaliks Ltd.Tata Metaliks Ltd.,Mar 15,25.29,-37.85,87.43,132.29,508.57,728.3,277.01,728.3,1418.59,1423.13,41.31,30.93,1289.04,132.31,22.85,109.14,43.0,0.0,14.42,7.67,124.83,79.02,7.33,0.54,0.0,1.0,750,"ROE Score : 200
 ROTC Score: 200
 Operation Margin score: 50
 Net Profit Margin Score: 50
 Current Ratio score: -100
 Debt to NetProfit : 1.212112882536192 and Score: 150
 Share Count Reduction Check score : 0
 Business Growth score: 200
 TOTAL SCORE: 750"
Tata Metaliks Ltd.Tata Metaliks Ltd.Tata Metaliks Ltd.Tata Metaliks Ltd.Tata Metaliks Ltd.,Mar 14,25.29,-145.05,-19.76,134.78,620.19,735.21,280.41,735.21,1424.5,1426.21,42.67,31.08,1402.58,2.82,0.0,9.47,4.0,0.0,5.38,0.66,-47.93,39.55,-38.21,0.45,0.0,1.0,350,"ROE Score : 0
 ROTC Score: 200
 Operation Margin score: 0
 Net Profit Margin Score: 0
 Current Ratio score: -100
 Debt to NetProfit : 14.232312565997887 and Score: 50
 Share Count Reduction Check score : 0
 Business Growth score: 200
 TOTAL SCORE: 350"
Tata Metaliks Ltd.Tata Metaliks Ltd.Tata Metaliks Ltd.Tata Metaliks Ltd.Tata Metaliks Ltd.,Mar 13,25.29,-154.52,-29.24,190.52,692.48,853.76,357.48,853.76,994.6,1030.81,38.72,28.23,1089.01,-113.9,0.0,-113.9,-34.0,0.0,-4.72,-11.05,389.53,-46.61,-30.2,0.52,-0.0,1.0,200,"ROE Score : 200
 ROTC Score: 0
 Operation Margin score: 0
 Net Profit Margin Score: 0
 Current Ratio score: -100
 Debt to NetProfit : -1.6726953467954346 and Score: -100
 Share Count Reduction Check score : 0
 Business Growth score: 200
 TOTAL SCORE: 200"
Tata Metaliks Ltd.Tata Metaliks Ltd.Tata Metaliks Ltd.Tata Metaliks Ltd.Tata Metaliks Ltd.,Mar 12,25.29,-67.42,57.87,143.65,590.7,819.02,349.58,819.02,1226.23,1258.69,39.65,26.95,1428.79,-170.1,0.0,-135.24,-45.0,0.0,-8.44,-10.74,-233.7,-57.13,12.69,0.59,-0.0,1.0,0,"ROE Score : 0
 ROTC Score: 0
 Operation Margin score: 0
 Net Profit Margin Score: 0
 Current Ratio score: -100
 Debt to NetProfit : -1.0621857438627624 and Score: -100
 Share Count Reduction Check score : 0
 Business Growth score: 200
 TOTAL SCORE: 0"
Gulf Oil Lubricants India Ltd.Gulf Oil Lubricants India Ltd.Gulf Oil Lubricants India Ltd.Gulf Oil Lubricants India Ltd.Gulf Oil Lubricants India Ltd.,Mar 19,9.96,576.78,586.74,24.34,531.38,1142.47,833.94,1142.47,1705.8,1735.34,15.16,22.36,1460.26,275.07,88.37,177.78,35.73,54.77,18.33,10.24,30.3,47.49,0.95,1.57,0.31,0.69,900,"ROE Score : 200
 ROTC Score: 200
 Operation Margin score: 50
 Net Profit Margin Score: 50
 Current Ratio score: 100
 Debt to NetProfit : 0.1369107886151423 and Score: 200
 Share Count Reduction Check score : -100
 Business Growth score: 200
 TOTAL SCORE: 900"
Gulf Oil Lubricants India Ltd.Gulf Oil Lubricants India Ltd.Gulf Oil Lubricants India Ltd.Gulf Oil Lubricants India Ltd.Gulf Oil Lubricants India Ltd.,Mar 18,9.94,457.48,467.42,15.46,546.05,1028.93,749.2,1028.93,1332.26,1358.36,8.53,10.43,1115.5,242.86,78.28,158.56,31.92,19.88,19.65,11.67,33.92,52.06,1.2,1.37,0.13,0.87,900,"ROE Score : 200
 ROTC Score: 200
 Operation Margin score: 50
 Net Profit Margin Score: 50
 Current Ratio score: 100
 Debt to NetProfit : 0.09750252270433905 and Score: 200
 Share Count Reduction Check score : -100
 Business Growth score: 200
 TOTAL SCORE: 900"
Gulf Oil Lubricants India Ltd.Gulf Oil Lubricants India Ltd.Gulf Oil Lubricants India Ltd.Gulf Oil Lubricants India Ltd.Gulf Oil Lubricants India Ltd.,Mar 17,9.93,344.2,354.13,8.81,375.28,738.22,574.51,738.22,1086.79,1107.14,9.82,7.25,926.06,181.08,62.67,117.56,23.7,17.38,18.23,10.62,33.2,52.6,1.08,1.53,0.15,0.85,900,"ROE Score : 200
 ROTC Score: 200
 Operation Margin score: 50
 Net Profit Margin Score: 50
 Current Ratio score: 100
 Debt to NetProfit : 0.07494045593739368 and Score: 200
 Share Count Reduction Check score : -100
 Business Growth score: 200
 TOTAL SCORE: 900"
Gulf Oil Lubricants India Ltd.Gulf Oil Lubricants India Ltd.Gulf Oil Lubricants India Ltd.Gulf Oil Lubricants India Ltd.Gulf Oil Lubricants India Ltd.,Mar 16,9.91,238.62,248.54,6.39,393.66,648.59,528.02,648.59,1011.35,1029.29,17.79,6.04,876.02,153.26,52.24,100.31,20.24,34.7,17.51,9.75,40.36,67.1,1.61,1.34,0.35,0.65,900,"ROE Score : 200
 ROTC Score: 200
 Operation Margin score: 50
 Net Profit Margin Score: 50
 Current Ratio score: 100
 Debt to NetProfit : 0.06370252218123816 and Score: 200
 Share Count Reduction Check score : -100
 Business Growth score: 200
 TOTAL SCORE: 900"
Gulf Oil Lubricants India Ltd.Gulf Oil Lubricants India Ltd.Gulf Oil Lubricants India Ltd.Gulf Oil Lubricants India Ltd.Gulf Oil Lubricants India Ltd.,Mar 15,9.91,177.19,187.11,5.3,372.11,564.51,456.74,564.51,967.48,976.7,17.75,4.82,860.67,116.04,35.31,77.41,15.62,27.26,14.33,7.93,41.37,69.54,2.02,1.23,0.35,0.65,900,"ROE Score : 200
 ROTC Score: 200
 Operation Margin score: 50
 Net Profit Margin Score: 50
 Current Ratio score: 100
 Debt to NetProfit : 0.06846660638160444 and Score: 200
 Share Count Reduction Check score : -100
 Business Growth score: 200
 TOTAL SCORE: 900"
Black Rose Industries Ltd.Black Rose Industries Ltd.Black Rose Industries Ltd.Black Rose Industries Ltd.Black Rose Industries Ltd.,Mar 19,5.1,43.25,48.35,14.94,45.98,109.27,75.8,109.27,308.71,309.46,3.13,2.11,290.1,19.36,5.6,13.89,3.0,0.92,7.97,4.49,28.73,35.53,1.26,1.65,0.07,0.93,850,"ROE Score : 200
 ROTC Score: 200
 Operation Margin score: 0
 Net Profit Margin Score: 0
 Current Ratio score: 100
 Debt to NetProfit : 1.0755939524838012 and Score: 150
 Share Count Reduction Check score : 0
 Business Growth score: 200
 TOTAL SCORE: 850"
Black Rose Industries Ltd.Black Rose Industries Ltd.Black Rose Industries Ltd.Black Rose Industries Ltd.Black Rose Industries Ltd.,Mar 18,5.1,30.35,35.45,18.47,51.34,105.26,68.32,105.26,297.7,298.23,3.82,2.41,282.04,16.19,5.21,11.75,2.0,0.61,7.53,3.94,33.15,37.11,1.97,1.33,0.05,0.95,850,"ROE Score : 200
 ROTC Score: 200
 Operation Margin score: 0
 Net Profit Margin Score: 0
 Current Ratio score: 100
 Debt to NetProfit : 1.571914893617021 and Score: 150
 Share Count Reduction Check score : 0
 Business Growth score: 200
 TOTAL SCORE: 850"
Black Rose Industries Ltd.Black Rose Industries Ltd.Black Rose Industries Ltd.Black Rose Industries Ltd.Black Rose Industries Ltd.,Mar 17,5.1,20.37,25.47,24.11,59.58,109.16,70.21,109.16,241.73,242.42,4.76,2.74,234.85,7.57,1.54,5.02,1.0,0.0,6.23,2.07,19.71,24.87,3.29,1.18,0.0,1.0,700,"ROE Score : 100
 ROTC Score: 150
 Operation Margin score: 0
 Net Profit Margin Score: 0
 Current Ratio score: 100
 Debt to NetProfit : 4.802788844621515 and Score: 150
 Share Count Reduction Check score : 0
 Business Growth score: 200
 TOTAL SCORE: 700"
Black Rose Industries Ltd.Black Rose Industries Ltd.Black Rose Industries Ltd.Black Rose Industries Ltd.Black Rose Industries Ltd.,Mar 16,5.1,15.72,20.82,22.04,41.42,84.28,43.83,84.28,177.37,177.72,4.47,2.73,175.24,2.49,0.54,1.61,0.0,0.0,5.46,0.91,7.73,16.24,3.05,1.06,0.0,1.0,450,"ROE Score : 0
 ROTC Score: 100
 Operation Margin score: 0
 Net Profit Margin Score: 0
 Current Ratio score: 100
 Debt to NetProfit : 13.689440993788818 and Score: 50
 Share Count Reduction Check score : 0
 Business Growth score: 200
 TOTAL SCORE: 450"
Black Rose Industries Ltd.Black Rose Industries Ltd.Black Rose Industries Ltd.Black Rose Industries Ltd.Black Rose Industries Ltd.,Mar 15,5.1,14.2,19.3,21.78,50.69,91.77,49.77,91.77,195.96,196.54,4.87,2.78,197.23,-0.69,0.0,0.53,0.0,0.0,3.55,0.27,2.75,10.18,3.75,0.98,0.0,1.0,100,"ROE Score : 0
 ROTC Score: 0
 Operation Margin score: 0
 Net Profit Margin Score: 0
 Current Ratio score: -100
 Debt to NetProfit : 41.094339622641506 and Score: 0
 Share Count Reduction Check score : 0
 Business Growth score: 200
 TOTAL SCORE: 100"
Satia Industries Ltd.Satia Industries Ltd.Satia Industries Ltd.Satia Industries Ltd.Satia Industries Ltd.,Mar 19,10.0,297.57,307.57,195.7,157.11,660.38,209.91,660.38,738.41,752.85,20.78,47.73,642.77,110.08,18.14,87.77,87.77,2.5,24.19,11.66,28.54,26.0,1.15,1.34,0.03,0.97,1000,"ROE Score : 200
 ROTC Score: 200
 Operation Margin score: 100
 Net Profit Margin Score: 50
 Current Ratio score: 100
 Debt to NetProfit : 2.229691238464168 and Score: 150
 Share Count Reduction Check score : 0
 Business Growth score: 200
 TOTAL SCORE: 1000"
Satia Industries Ltd.Satia Industries Ltd.Satia Industries Ltd.Satia Industries Ltd.Satia Industries Ltd.,Mar 18,10.0,212.61,222.61,181.93,177.33,581.86,227.84,581.86,634.1,664.37,23.73,45.08,581.04,83.33,15.67,68.67,68.67,3.0,23.99,10.34,30.85,26.47,1.61,1.28,0.04,0.96,1000,"ROE Score : 200
 ROTC Score: 200
 Operation Margin score: 100
 Net Profit Margin Score: 50
 Current Ratio score: 100
 Debt to NetProfit : 2.649337410805301 and Score: 150
 Share Count Reduction Check score : 0
 Business Growth score: 200
 TOTAL SCORE: 1000"
Satia Industries Ltd.Satia Industries Ltd.Satia Industries Ltd.Satia Industries Ltd.Satia Industries Ltd.,Mar 17,10.0,148.31,158.31,180.24,157.37,495.91,183.58,495.91,542.11,563.18,24.47,40.03,515.67,47.51,5.1,45.55,45.55,0.0,20.66,8.09,28.77,21.26,2.13,1.17,0.0,1.0,950,"ROE Score : 200
 ROTC Score: 150
 Operation Margin score: 100
 Net Profit Margin Score: 50
 Current Ratio score: 100
 Debt to NetProfit : 3.9569703622392978 and Score: 150
 Share Count Reduction Check score : 0
 Business Growth score: 200
 TOTAL SCORE: 950"
Satia Industries Ltd.Satia Industries Ltd.Satia Industries Ltd.Satia Industries Ltd.Satia Industries Ltd.,Mar 16,10.0,94.5,104.5,199.94,155.87,460.31,179.68,460.31,433.61,450.09,25.1,33.25,438.43,11.66,0.0,13.12,13.12,0.0,16.15,2.91,12.56,12.07,3.4,1.15,0.0,1.0,450,"ROE Score : 50
 ROTC Score: 50
 Operation Margin score: 50
 Net Profit Margin Score: 0
 Current Ratio score: 100
 Debt to NetProfit : 15.239329268292684 and Score: 0
 Share Count Reduction Check score : 0
 Business Growth score: 200
 TOTAL SCORE: 450"
Satia Industries Ltd.Satia Industries Ltd.Satia Industries Ltd.Satia Industries Ltd.Satia Industries Ltd.,Mar 15,10.0,81.38,91.38,202.57,113.46,407.4,145.74,407.4,393.13,398.21,16.35,52.99,398.13,0.08,1.27,7.84,7.84,1.0,17.66,1.97,8.58,5.59,3.46,1.28,0.13,0.87,350,"ROE Score : 0
 ROTC Score: 0
 Operation Margin score: 50
 Net Profit Margin Score: 0
 Current Ratio score: 100
 Debt to NetProfit : 25.838010204081634 and Score: 0
 Share Count Reduction Check score : 0
 Business Growth score: 200
 TOTAL SCORE: 350"
Bharat Rasayan Ltd.Bharat Rasayan Ltd.Bharat Rasayan Ltd.Bharat Rasayan Ltd.Bharat Rasayan Ltd.,Mar 19,4.25,404.56,408.81,53.83,293.06,755.7,563.6,755.7,992.18,994.69,15.82,16.89,837.78,155.13,43.18,111.52,262.49,0.64,18.93,11.21,27.28,36.95,0.85,1.92,0.01,0.99,1000,"ROE Score : 200
 ROTC Score: 200
 Operation Margin score: 50
 Net Profit Margin Score: 50
 Current Ratio score: 100
 Debt to NetProfit : 0.48269368723098993 and Score: 200
 Share Count Reduction Check score : 0
 Business Growth score: 200
 TOTAL SCORE: 1000"
Bharat Rasayan Ltd.Bharat Rasayan Ltd.Bharat Rasayan Ltd.Bharat Rasayan Ltd.Bharat Rasayan Ltd.,Mar 18,4.25,294.0,298.25,52.83,152.63,503.7,345.98,503.7,795.3,797.92,10.64,16.42,664.17,135.62,36.71,98.31,231.41,0.64,20.46,12.32,32.96,41.66,0.69,2.27,0.01,0.99,1100,"ROE Score : 200
 ROTC Score: 200
 Operation Margin score: 100
 Net Profit Margin Score: 100
 Current Ratio score: 100
 Debt to NetProfit : 0.537381751602075 and Score: 200
 Share Count Reduction Check score : 0
 Business Growth score: 200
 TOTAL SCORE: 1100"
Bharat Rasayan Ltd.Bharat Rasayan Ltd.Bharat Rasayan Ltd.Bharat Rasayan Ltd.Bharat Rasayan Ltd.,Mar 17,4.25,196.46,200.71,48.97,119.79,369.47,235.18,369.47,620.69,622.91,12.01,16.43,538.67,83.92,29.67,54.53,128.35,0.51,18.1,8.75,27.17,38.42,0.84,1.96,0.01,0.99,1000,"ROE Score : 200
 ROTC Score: 200
 Operation Margin score: 50
 Net Profit Margin Score: 50
 Current Ratio score: 100
 Debt to NetProfit : 0.8980377773702549 and Score: 200
 Share Count Reduction Check score : 0
 Business Growth score: 200
 TOTAL SCORE: 1000"
Bharat Rasayan Ltd.Bharat Rasayan Ltd.Bharat Rasayan Ltd.Bharat Rasayan Ltd.Bharat Rasayan Ltd.,Mar 16,4.25,142.15,146.4,54.61,124.76,325.77,186.25,325.77,455.51,456.11,12.47,17.03,404.54,51.56,17.32,33.88,79.73,0.51,17.8,7.43,23.14,31.85,1.23,1.49,0.02,0.98,900,"ROE Score : 150
 ROTC Score: 200
 Operation Margin score: 50
 Net Profit Margin Score: 50
 Current Ratio score: 100
 Debt to NetProfit : 1.6118654073199525 and Score: 150
 Share Count Reduction Check score : 0
 Business Growth score: 200
 TOTAL SCORE: 900"
Bharat Rasayan Ltd.Bharat Rasayan Ltd.Bharat Rasayan Ltd.Bharat Rasayan Ltd.Bharat Rasayan Ltd.,Mar 15,4.25,108.89,113.14,77.07,143.79,334.0,194.63,334.0,438.76,439.63,16.44,17.73,391.56,48.06,15.27,31.75,74.73,0.64,18.74,7.22,28.06,33.91,1.95,1.35,0.02,0.98,950,"ROE Score : 200
 ROTC Score: 200
 Operation Margin score: 50
 Net Profit Margin Score: 50
 Current Ratio score: 100
 Debt to NetProfit : 2.427401574803149 and Score: 150
 Share Count Reduction Check score : 0
 Business Growth score: 200
 TOTAL SCORE: 950"
Gillette India Ltd.Gillette India Ltd.Gillette India Ltd.Gillette India Ltd.Gillette India Ltd.,Jun 19,32.59,745.77,778.36,79.1,352.5,1209.96,597.25,1209.96,1861.65,1875.25,7.85,47.7,1536.2,339.05,135.2,252.92,77.62,136.86,21.2,13.49,32.49,40.46,0.55,1.69,0.54,0.46,1050,"ROE Score : 200
 ROTC Score: 200
 Operation Margin score: 100
 Net Profit Margin Score: 100
 Current Ratio score: 100
 Debt to NetProfit : 0.31274711371184566 and Score: 200
 Share Count Reduction Check score : 0
 Business Growth score: 150
 TOTAL SCORE: 1050"
Gillette India Ltd.Gillette India Ltd.Gillette India Ltd.Gillette India Ltd.Gillette India Ltd.,Jun 18,32.59,661.59,694.18,35.47,479.35,1209.0,674.18,1209.0,1676.85,1689.6,7.46,42.29,1345.0,344.6,114.47,229.05,70.29,32.59,23.52,13.56,33.0,48.25,0.74,1.41,0.14,0.86,1050,"ROE Score : 200
 ROTC Score: 200
 Operation Margin score: 100
 Net Profit Margin Score: 100
 Current Ratio score: 100
 Debt to NetProfit : 0.15485701811831476 and Score: 200
 Share Count Reduction Check score : 0
 Business Growth score: 150
 TOTAL SCORE: 1050"
Gillette India Ltd.Gillette India Ltd.Gillette India Ltd.Gillette India Ltd.Gillette India Ltd.,Jun 17,32.59,468.02,500.61,33.81,464.04,998.46,498.46,998.46,1733.6,1771.42,6.74,38.35,1397.1,374.32,121.22,253.08,77.67,566.98,24.19,14.29,50.55,71.3,0.99,1.07,2.24,-1.24,1050,"ROE Score : 200
 ROTC Score: 200
 Operation Margin score: 100
 Net Profit Margin Score: 100
 Current Ratio score: 100
 Debt to NetProfit : 0.1335941204362257 and Score: 200
 Share Count Reduction Check score : 0
 Business Growth score: 150
 TOTAL SCORE: 1050"
Gillette India Ltd.Gillette India Ltd.Gillette India Ltd.Gillette India Ltd.Gillette India Ltd.,Jun 16,32.59,825.2,857.79,3.55,562.73,1424.07,973.19,1424.07,1959.66,1995.42,4.61,30.38,1691.64,303.78,111.32,213.03,65.38,81.07,17.29,10.68,24.83,35.8,0.66,1.73,0.38,0.62,900,"ROE Score : 150
 ROTC Score: 200
 Operation Margin score: 50
 Net Profit Margin Score: 50
 Current Ratio score: 100
 Debt to NetProfit : 0.01666431957940196 and Score: 200
 Share Count Reduction Check score : 0
 Business Growth score: 150
 TOTAL SCORE: 900"
Gillette India Ltd.Gillette India Ltd.Gillette India Ltd.Gillette India Ltd.Gillette India Ltd.,Jun 15,32.59,709.75,742.34,2.95,464.64,1209.93,837.45,1209.93,1874.71,1909.83,4.65,38.88,1753.36,156.47,66.93,158.13,48.53,48.88,10.67,8.28,21.3,21.62,0.63,1.8,0.31,0.69,800,"ROE Score : 150
 ROTC Score: 150
 Operation Margin score: 0
 Net Profit Margin Score: 50
 Current Ratio score: 100
 Debt to NetProfit : 0.018655536583823438 and Score: 200
 Share Count Reduction Check score : 0
 Business Growth score: 150
 TOTAL SCORE: 800"
Godrej Consumer Products Ltd.Godrej Consumer Products Ltd.Godrej Consumer Products Ltd.Godrej Consumer Products Ltd.Godrej Consumer Products Ltd.,Mar 20,102.23,7796.13,7898.36,2512.09,4546.56,14957.01,4808.34,14957.01,9910.8,10023.1,217.41,197.28,8182.46,1759.59,263.82,1495.77,15.0,0.0,21.94,14.92,18.94,18.99,0.89,1.06,0.0,1.0,700,"ROE Score : 100
 ROTC Score: 100
 Operation Margin score: 100
 Net Profit Margin Score: 100
 Current Ratio score: 100
 Debt to NetProfit : 1.6794627516262528 and Score: 150
 Share Count Reduction Check score : -100
 Business Growth score: 150
 TOTAL SCORE: 700"
Godrej Consumer Products Ltd.Godrej Consumer Products Ltd.Godrej Consumer Products Ltd.Godrej Consumer Products Ltd.Godrej Consumer Products Ltd.,Mar 19,102.22,7164.7,7266.92,3011.38,3891.78,14170.08,4688.41,14170.08,10314.34,10423.1,224.25,169.98,8590.96,2084.7,417.9,2340.9,23.0,1226.52,24.03,22.46,32.21,22.46,0.95,1.2,0.52,0.48,900,"ROE Score : 200
 ROTC Score: 150
 Operation Margin score: 100
 Net Profit Margin Score: 150
 Current Ratio score: 100
 Debt to NetProfit : 1.2864197530864196 and Score: 150
 Share Count Reduction Check score : -100
 Business Growth score: 150
 TOTAL SCORE: 900"
Godrej Consumer Products Ltd.Godrej Consumer Products Ltd.Godrej Consumer Products Ltd.Godrej Consumer Products Ltd.Godrej Consumer Products Ltd.,Mar 18,68.13,6190.18,6258.31,3539.6,4164.8,13962.71,5167.68,13962.71,9843.27,9950.82,160.74,155.68,8092.58,2037.8,392.5,1633.1,24.0,613.12,23.92,16.41,26.09,22.44,1.23,1.24,0.38,0.62,850,"ROE Score : 200
 ROTC Score: 150
 Operation Margin score: 100
 Net Profit Margin Score: 100
 Current Ratio score: 100
 Debt to NetProfit : 2.167411671055049 and Score: 150
 Share Count Reduction Check score : -100
 Business Growth score: 150
 TOTAL SCORE: 850"
Godrej Consumer Products Ltd.Godrej Consumer Products Ltd.Godrej Consumer Products Ltd.Godrej Consumer Products Ltd.Godrej Consumer Products Ltd.,Mar 17,34.06,5267.89,5301.95,4387.22,3347.36,13036.53,4378.05,13036.53,9267.91,9343.21,145.22,141.57,7656.98,1686.31,369.17,1307.15,19.0,195.78,21.29,13.99,24.65,18.9,1.46,1.31,0.15,0.85,750,"ROE Score : 150
 ROTC Score: 100
 Operation Margin score: 100
 Net Profit Margin Score: 100
 Current Ratio score: 100
 Debt to NetProfit : 3.356324828826072 and Score: 150
 Share Count Reduction Check score : -100
 Business Growth score: 150
 TOTAL SCORE: 750"
Godrej Consumer Products Ltd.Godrej Consumer Products Ltd.Godrej Consumer Products Ltd.Godrej Consumer Products Ltd.Godrej Consumer Products Ltd.,Mar 16,34.05,4232.91,4266.96,2762.15,2714.6,9753.73,3492.8,9753.73,8423.88,8507.78,119.01,100.63,7007.7,1166.57,327.12,830.52,24.0,187.27,16.46,9.76,19.46,18.26,1.28,1.29,0.23,0.77,600,"ROE Score : 100
 ROTC Score: 100
 Operation Margin score: 50
 Net Profit Margin Score: 50
 Current Ratio score: 100
 Debt to NetProfit : 3.3258079275634542 and Score: 150
 Share Count Reduction Check score : -100
 Business Growth score: 150
 TOTAL SCORE: 600"
